iter	Passed	Remaining
0	1	137
1	2	133
2	4	130
3	5	123
4	6	124
5	7	123
6	9	120
7	10	121
8	11	119
9	13	118
10	14	116
11	15	114
12	16	112
13	18	111
14	19	111
15	21	110
16	22	108
17	23	109
18	25	107
19	26	106
20	28	105
21	29	103
22	30	102
23	32	101
24	33	100
25	34	98
26	35	97
27	37	95
28	38	93
29	39	92
30	40	90
31	42	89
32	43	88
33	44	86
34	45	84
35	46	83
36	48	82
37	49	81
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	57	72
44	58	71
45	59	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	68	61
53	69	59
54	70	57
55	72	56
56	73	55
57	74	53
58	76	52
59	77	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	45
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	94	33
74	95	31
75	97	30
76	98	29
77	99	28
78	100	26
79	101	25
80	102	24
81	103	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	122	3
97	123	2
98	124	1
99	125	0
